GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2019091511,2019-09-15,4,0,1,CHI,DEN,1,10,65,,0,,0,"(:01) 15-E.PINEIRO 53 YARD FIELD GOAL IS GOOD, CENTER-48-P.SCALES, HOLDER-16-P.O'DONNELL.",0,,,2019,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
2019091511,2019-09-15,4,0,31,DEN,CHI,0,0,99,,1,,0,"TWO-POINT CONVERSION ATTEMPT. 5-J.FLACCO PASS TO 10-E.SANDERS IS COMPLETE. ATTEMPT SUCCEEDS.",0,,,2019,0,"UNDER CENTER","TWO-POINT CONVERSION",0,0,0,0,,0,0,0,,0,0,0,0,1,1,,1,OPP,0,,0,,0
2019091511,2019-09-15,4,0,31,DEN,CHI,0,0,80,,0,,0,"8-B.MCMANUS EXTRA POINT IS NO GOOD, WIDE RIGHT, CENTER-42-C.KREITER, HOLDER-6-C.WADMAN. PENALTY ON CHI-24-B.SKRINE, DEFENSIVE OFFSIDE, 1 YARD, ENFORCED AT CHI 20 - NO PLAY.",0,,,2019,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,20,OPP,1,CHI,1,"DEFENSIVE OFFSIDE",1
2019091511,2019-09-15,4,0,31,DEN,CHI,0,0,98,,0,,0,"(PASS FORMATION) PENALTY ON DEN, DELAY OF GAME, 5 YARDS, ENFORCED AT CHI 2 - NO PLAY.",0,,,2019,0,"UNDER CENTER","NO PLAY",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,2,OPP,1,DEN,1,"DELAY OF GAME",5
2019091511,2019-09-15,4,0,37,DEN,CHI,1,7,93,,1,,0,"(:37) (NO HUDDLE, SHOTGUN) 5-J.FLACCO PASS SHORT RIGHT TO 10-E.SANDERS FOR 7 YARDS, TOUCHDOWN.",0,,,2019,7,"NO HUDDLE SHOTGUN",PASS,0,1,0,1,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,7,OPP,0,,0,,0
2019091511,2019-09-15,4,1,2,DEN,CHI,4,3,88,,1,,0,"(1:02) (SHOTGUN) 5-J.FLACCO PASS SHORT RIGHT TO 14-C.SUTTON TO CHI 7 FOR 5 YARDS (23-K.FULLER).",0,,,2019,5,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,12,OPP,0,,0,,0
2019091511,2019-09-15,4,1,7,DEN,CHI,3,3,88,,0,,0,"(1:07) (NO HUDDLE, SHOTGUN) 5-J.FLACCO PASS INCOMPLETE SHORT RIGHT TO 30-P.LINDSAY (39-E.JACKSON).",0,,,2019,0,"NO HUDDLE SHOTGUN",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,12,OPP,0,,0,,0
2019091511,2019-09-15,4,1,27,DEN,CHI,2,10,81,,0,,0,"(1:27) (SHOTGUN) 5-J.FLACCO PASS SHORT MIDDLE TO 10-E.SANDERS TO CHI 12 FOR 7 YARDS (20-P.AMUKAMARA).",0,,,2019,7,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,19,OPP,0,,0,,0
2019091511,2019-09-15,4,1,32,DEN,CHI,1,10,81,,0,,0,"(1:32) (SHOTGUN) 5-J.FLACCO PASS INCOMPLETE SHORT LEFT TO 30-P.LINDSAY.",0,,,2019,0,SHOTGUN,PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,19,OPP,0,,0,,0
2019091511,2019-09-15,4,1,37,DEN,CHI,2,5,72,,1,,0,"(1:37) (NO HUDDLE, SHOTGUN) 5-J.FLACCO PASS SHORT LEFT TO 17-D.HAMILTON RAN OB AT CHI 19 FOR 9 YARDS (20-P.AMUKAMARA).",0,,,2019,9,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
